Topic,Prompt Nr,Prompt,Model,Actual Model (Fill in after Rating is complete),Response,Rating Christine,Comments Christine,Rating Ansam,Comment Ansam,Rating Adrian,Comment Adrian,Rating Mike,Comment Mike,Rating Albin,Comment Albin,Rating Grzegorz,Comment Grzegorz,Translation Language,Translation Type
,,,4,,"Absolutely! Here's a Polish translation focusing on poetic beauty and emotional resonance, inspired by symbolist and romantic poetry:

Ogród Miłości mym celem był,
Lecz ujrzałem, czego nie znał mój wzrok:
Kaplica wzniesiona pośród drzew,
Tam, gdzie łąka nęciła mnie co dzień, krok.

I bramy kaplicy zamknięte już, 
A nad nimi zakazów surowy rząd;
Ogrodowi Miłości odwróciłem twarz,
Którego kwiaty barwami lśniły wprzód.

Lecz cóż zastałem? Pole pełne grobów,
I płyty nagrobne, gdzie kwiatów woń...
A w czerni odziani, księża krążą wokół,
Cierniami oplatają me szczęście i zgon. 

Here's why I made certain choices:

* **Lyrical Language:** I used slightly archaic phrasing and more symbolic vocabulary to give it a timeless, elevated feel.
* **Imagery:** Focused on vivid, slightly unsettling images – the chapel rising where there was playful green, the graves replacing flowers.
* **Atmosphere:** There's a sense of melancholy and the oppression of joy, which aligns with the original poem's themes.

**Let me know if you'd like any adjustments in style or tone!** 
Absolutely! Here's a Polish translation focusing on poetic beauty and emotional resonance, inspired by symbolist and romantic poetry:

Ogród Miłości mym celem był,
Lecz ujrzałem, czego nie znał mój wzrok:
Kaplica wzniesiona pośród drzew,
Tam, gdzie łąka nęciła mnie co dzień, krok.

I bramy kaplicy zamknięte już, 
A nad nimi zakazów surowy rząd;
Ogrodowi Miłości odwróciłem twarz,
Którego kwiaty barwami lśniły wprzód.

Lecz cóż zastałem? Pole pełne grobów,
I płyty nagrobne, gdzie kwiatów woń...
A w czerni odziani, księża krążą wokół,
Cierniami oplatają me szczęście i zgon. 

Here's why I made certain choices:

* **Lyrical Language:** I used slightly archaic phrasing and more symbolic vocabulary to give it a timeless, elevated feel.
* **Imagery:** Focused on vivid, slightly unsettling images – the chapel rising where there was playful green, the graves replacing flowers.
* **Atmosphere:** There's a sense of melancholy and the oppression of joy, which aligns with the original poem's themes.

**Let me know if you'd like any adjustments in style or tone!** 
",10,"Perfect,appendix is good",10,Great,10,,9,Very good except some misleading information,8,IMO some original context lost,9,,P,PO
,,,4,,"Absolutely! Here's a translation with the emphasis on lyrical beauty and resonance in mind:

**ذهبتُ إلى جنّةِ الحُبّ**
**فرأيتُ ما لَم يَسبِق لِي أن رأيت**
**كنيسةً شُيّدت في صميمها**
**حيثُ كنتُ ألعبُ على الخُضرةِ الغنّاء**

**وأغلقت أبواب الكنيسة**
**و فوقها كُتبت ""لا يجوز""**
**فتوجّهتُ صوب جنّةِ الحُبِّ**
**الـمُفعَمة بأنفاس الزهورِ العذبة** 

 **فرأيتُها وقد غدت مزارًا**
**تعلوها شواهد حيث كان منبت الورد**
**يمشي الرّهبان بثيابِ الدّجى**
**يقيدونَ فرحتي ورغبتي بالأغلال**

Let me explain some of the choices I made:

* **Word Choices:** Words were chosen to have a more archaic and poetic feel in Arabic. I also selected words that conjure up the desired emotional imagery (i.e., 'جنة' for garden carries a sense of paradise).
* **Imagery:** I made adjustments like the 'black gowns' becoming 'ثياب الدجى' (garments of darkness) to create stronger visual contrast.
* **Structure:** While not a direct translation, I kept some rhyme and a rhythmic structure to maintain the poem's mournful melody.

**Please Note:**

* **Arabic poetry norms:** True poetic translation into Arabic would consider complex traditional poetic structures. This prioritizes the emotive quality over those structures.
* **Interpretation:** There's lots of room for different interpretations of the poem's meaning. My translation leans into a theme of lost innocence and stifled joy.

Let me know if you want me to modify it further, or if you have any other texts you'd like to translate in a similar manner! 
",8,,9,very good translation with poetic meanings,8,,9,,7,,8,,A,PO
,,,4,,"Absolutely!  Here's a poetic Hebrew translation aiming for emotional resonance and  lyrical quality. Please note that while I can read and write Hebrew,  I'm not a native speaker. Getting feedback from a native Hebrew poet would be ideal to finesse it further.

**Translation**

אל גן האהבה הלכתי לתומו, 
וחזיתי במראה שלא הכרתי עמי: 
קפלה נבנתה בליבו ממש,
במקום ששעשעתיו על מרבד ירוק, כר נרחב.

ושערי הקפלה סגורים היו,
ומעליהם חרות ""אל תעז!""
אז פניתי חזרה אל גן האהבה,
הגן שהעניק פרחים מתוקים למכביר.

ומצאתיו עמוס קברים למכביר,
ומצבות במקום בו פרחים אמורים לשגשג.
וכמרים בלבושם השחור צעדו סביב,
קושרים קוצים אל תשוקותיי, מאוויי.

**Key Points About This Translation**

* **Word Choice:**  I selected words with poetic connotations (גן, קפלה, מאוויים) to enhance the emotional tone.
* **Imagery:**  I maintained the original's powerful imagery and focused on its sense of loss rather than a word-for-word match.
* **Rhythm:** While not perfectly mirroring the original meter, the Hebrew does have a flow that lends itself to being read dramatically and poetically.

Let me know if you'd like any phrases revised or would like to focus on a specific emotional atmosphere! 
",9,,10,great poetic translation,9,,8,,8,,9,,H,PO
,,,4,,"Here's a translation of the provided text into German, tailored towards scientific discourse:

**Die dominierenden Modelle zur Sequenztransduktion basieren auf komplexen rekurrenten oder konvolutionalen neuronalen Netzwerken, bestehend aus einem Encoder und einem Decoder. Die leistungsstärksten Modelle verbinden den Encoder und Decoder zudem durch einen Aufmerksamkeitsmechanismus. Wir schlagen eine neue, einfache Netzwerkarchitektur vor, den Transformer, der ausschließlich auf Aufmerksamkeitsmechanismen beruht und vollständig auf Rekurrenz und Konvolutionen verzichtet. Experimente mit zwei maschinellen Übersetzungsaufgaben zeigen, dass diese Modelle sowohl eine höhere Qualität aufweisen als auch besser parallelisierbar sind und eine deutlich geringere Trainingszeit erfordern.**

**Explanation of Key Choices:**

* **Sequenztransduktion:** A somewhat technical term, conveying the core concept of transforming one sequence into another.
* **rekurrenten oder konvolutionalen neuronalen Netzwerken:**  Standard terminology in the field.
* **Aufmerksamkeitsmechanismus** A well-established term in German AI literature.
* **parallelisierbar:** Emphasizes the computational advantage of the Transformer model. 

**Let me know if you'd like adjustments or have other text to translate!** 
",9,Good,10,,8,,,,10,very well translated with explanation,8,Good,G,SC
,,,4,,"Absolutely! Here's a Polish translation adhering to scientific writing conventions. I've focused on accuracy, clarity, and aligning terminology with established Polish equivalents in the field.

**Polish (Scientific Discourse):**

Dominujące modele transdukcji sekwencyjnej opierają się na złożonych rekurencyjnych lub konwolucyjnych sieciach neuronowych, składających się z enkodera i dekodera. Modele o najwyższej wydajności wykorzystują również mechanizm uwagi (ang. *attention mechanism*) łączący oba komponenty. Proponujemy nową, prostą architekturę sieciową – Transformer – opartą wyłącznie na mechanizmach uwagi, całkowicie rezygnującą z rekurencji i konwolucji. Eksperymenty na dwóch zadaniach tłumaczenia maszynowego wykazują, że modele te zapewniają wyższą jakość przy jednoczesnym zwiększeniu możliwości zrównoleglania i znacznym skróceniu czasu treningu.

**Explanation of Key Choices:**

* **Transdukcja sekwencyjna:** An established Polish term for sequence transduction.
* **Rekurencyjny/Konwolucyjny:** Standard Polish terms in AI/ML
* **Mechanizm uwagi:** Direct translation, but validated as common in Polish technical literature.
* **Zrównoleglanie:** Emphasizes parallelization potential, important in the original text.

**Let me know if you have any other text you'd like translated for a scientific audience!** 
",10,Great,10,very good,10,,9,Very good except some misleading information,10,,10,Very good,P,SC
,,,4,,"Absolutely! Here's a translation of the text into Standard Arabic (Modern Standard Arabic - MSA), refined for a scientific context:

**النماذج السائدة في تحويل التسلسلات تعتمد على شبكات عصبية متكررة أو تلافيفية معقدة تتضمن مشفرًا ومفكك تشفير. كما تربط النماذج الأفضل أداءً بين المشفر ومفكك التشفير عبر آلية انتباه. نقترح بنية شبكة بسيطة جديدة، وهي المحوّل (Transformer)، التي تعتمد فقط على آليات الانتباه، وتتجاهل التكرارات والتلافيف كليًا. تُظهر التجارب على مهمتين للترجمة الآلية أن هذه النماذج متفوقة في الجودة، مع كونها أيضًا أكثر قابلية للتوازي، وتتطلب وقتًا أقل للتدريب بشكل ملحوظ.**

**Explanation of Key Changes:**

* **Focus on MSA:**  The translation uses formal MSA for a scholarly tone.
* **Technical Terminology:**  I've ensured accurate translations of terms like:
    * ""sequence transduction models"" (نماذج تحويل التسلسلات)
    * ""recurrent/convolutional neural networks"" (شبكات عصبية متكررة / تلافيفية)
    * ""encoder/decoder"" (مشفر / مفكك تشفير)
    * ""attention mechanism""  (آلية انتباه)
* **Scientific Tone:**  The wording is precise and avoids colloquialisms to maintain a professional, scientific feel.

**Let me know if you'd like any of the phrasing adjusted or if you have further text to translate!** 
",9,,10,,9,,8,,8,,8,,A,SC
,,,4,,"Absolutely! Let's craft a scientifically rigorous Hebrew translation of the provided text.  Since I don't have native fluency in Hebrew, I'll combine machine translation tools with guidance on scientific terminology to give you the best possible result.

**Original Text:**

> The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. 

**Step 1: Machine Translation (Base)**

Let's use several reputable translation tools to get a starting point:

* Google Translate: [https://translate.google.com/](https://translate.google.com/)
* [https://www.translate.com/english-hebrew](https://www.translate.com/english-hebrew)
* DeepL: [https://www.deepl.com/translator](https://www.deepl.com/translator)

**Step 2: Scientific Terminology**

Here's where things get a bit tricky. We need to make sure the Hebrew translation uses the precise terminology expected in the scientific community. Some key terms to consider:

* **Sequence Transduction Models:** May have a standard Hebrew equivalent in scientific literature.  
* **Recurrent/Convolutional Neural Networks:** Verify the correct Hebrew equivalents for these. 
* **Encoder/Decoder:**  Same as above.
* **Attention Mechanism:** Ensure accurate translation.
* **Transformer:** If this has a standard translation, use it. Otherwise, a transliteration alongside an explanation may be necessary.

**Step 3: Seeking Expert Help**

This is the most crucial step. To guarantee accuracy I strongly recommend the following:

* **Find a Hebrew-speaking scientist specializing in machine learning or natural language processing.** They can review the machine translations and refine them using correct scientific terminology.
* **Utilize scientific glossaries or terminology databases:**  There might be existing resources specifically for AI/ML terms in Hebrew.

**Let me know if you have a starting translation from the machine tools, and I can help point out areas where a scientific expert's input would be invaluable!** 
",1,,1,exaplantion but no translation,1,,1,,1,,1,,H,SC
,,,5,,"Die Psychologin und Anhängerin des Wachstums-Mindset Carol Dweck sprach über die Plastizität des Gehirns und unsere Fähigkeit, Fähigkeiten und Talente zu entwickeln, die wir nicht von Natur aus gut beherrschen. Viele von uns tendieren dazu, unsere Anerkennung auf das Endergebnis und angeblich innate Fähigkeiten zu konzentrieren, z.B. ""Du hast ein richtiges Auge für Details"" oder ""Du hast ein echtes Talent für die Organisation von Veranstaltungen"". Allerdings zeigen Forschungen, dass wir die Entwicklung neuer Fähigkeiten und die weitere Ausbildung von Talenten fördern können, indem wir den Prozess betonen, wie Dinge erledigt werden - d.h. die Anstrengung, das Experimentieren und die Problemlösestrategien - und loben.",7,ok last sentence ,9,,6,"weird ""Einschub"" at the end, ""innate"" should be translated",,,7,could be better,7,,G,C1
,,,5,,"Psycholog i profesor Carol Dweck, która propaguje pojęcie ""mindset wollny wzrost"", mówi o elastyczności mózgu i naszej możliwości rozwijania umiejętności i talentów, które wcześniej nie były nam łatwe. Wielu z nas skłania się do chwalenia rezultatu i rzekomych talentów, np. ""Czytelnie masz oko na szczegóły"" lub ""Masz prawdziwy talent na organizację imprez"". Jednakże badania wskazują, że przez chwalenie procesu, w którym chodzi o staranie, eksperymentowanie i strategie rozwiązywania problemów, możemy zachęcić do rozwoju nowych umiejętności i doskonalenia talentów.",4,"Unnatural, hard to unserstand sometimes",6,"Ok, sometimes not cleat what is meant",4,"Words unnatural, hard to follow",3,"Incorrect grammar, wording",2,Complete disaster,5,First sentences are bad,P,C1
,,,5,,"ناس عادت يتلقون للنتيجة النهائية والموهوبين الصّالحين لدية المهارات التي ليسوا كافية في البداية. ومع ذلك، البحث يؤكد أن محاولة المهارات الجديدة والتعاون في مسار تطوير المهارات الموجودة يمكننا أن نشجع نتيجة مهارات جديدة ومتميزة.

وكذلك، عندما نتلقي للمهارات الموجودة والموهوبين الصّالحين، ننتقل إلى محاولة المهارات الجديدة والتعاون في مسار تطويرها. وهذا يعني أننا نتلقي للمهارات الموجودة والموهوبين الصّالحين ونقول لهم: ""أنت لديه عين للتفصيل"" أو ""أنت لديه موهبة للتنظيم"". ولكن، يمكننا أن نتلقي للمهارات الموجودة والموهوبين الصّالحين ونقول لهم: ""أنت لديه موهبة للتجربة والموهبة للمهارات الجديدة"".

وعندما نتلقي للمهارات الموجودة والموهوبين الصّالحين، نعترف أننا نتلقي للموهارات التي يمكننا أن نتعلق بها وننتج منها موهارات جديدة ومتميزة. وهذا يعني أننا نتلقي للمهارات الموجودة والموهوبين الصّالحين ونقول لهم: ""أنت لديه موهبة للتعاون والموهبة للمهارات الجديدة"".

ولكن، يمكننا أن نتلقي للمهارات الموجودة والموهوبين الصّالحين ونقول لهم: ""أنت لديه موهبة للتعاون والموهبة للمهارات الجديدة"". وهذا يعني أننا نتلقي للمهارات الموجودة والموهوبين الصّالحين ونقول لهم: ""أنت لديه موهبة للتعاون والموهبة للمهارات الجديدة"".

وعندم",1,,1,Hallucinations,1,,1,,1,,1,,A,C1
,,,5,,"הפסיכולוג ופרופוזנט של מודע שלישי, קרול דווק, שְׁ Spoke על רוח המוצר של המוח ואת יכולתנו לפתח ממשי והשקעות שלא היו טובים למתחיל עם. רבים ממחילים פraise שלישי על תוצאה והשקעות ניטוריות, למשל ""אתה מוכר לעיניים לפרטים"" או ""אתה ידעות נכסת לארגן אירועים"". 그ם מתחיל של מידע של התהליך של כישור והשקעות נוח לזוהר למתחיל על כישור והשקעות המוגבלים שלנו.",1,,1,mess of words from hebrew and english,1,,1,,1,,1,,H,C1
,,,5,,"Ich wandte mich zum Garten der Liebe,
Und sah, was ich noch nie gesehen,
Eine Kapelle stand inmitten,
Wo ich einst auf dem grünen Spielplatz war.
Die Tore dieser Kapelle waren geschlossen,
Und ""Du sollst nicht"" stand über der Tür;
Darum wandte ich mich wieder dem Garten der Liebe,
Der so viele süße Blumen trug.
Ich sah, dass er voller Gräber war,
Und Grabsteine, wo Blumen sein sollten;
Und Priester in schwarzen Gewändern gingen their rounds,
Und banden meine Freuden und Wünsche mit Dornen.

In this translation, I tried to capture the essence and emotive qualities of the original poem, while also prioritizing lyrical beauty and resonance. I used creative liberties to evoke the desired atmosphere and imagery, while still conveying the message of the original poem.

I chose the phrase ""Ich wandte mich"" (I turned to) instead of ""I saw"" to emphasize the speaker's movement and change in perspective. I also used ""inmitten"" (in the middle) to emphasize the central location of the chapel in the garden.

In the second stanza, I used ""Du sollst nicht"" (Thou shalt not) to emphasize the prohibitive nature of the chapel's message, and ""binding with briars"" to convey the idea of restriction and confinement.

In the third stanza, I used ""voller Gräber"" (full of graves) to emphasize the idea of death and finality, and ""Grabsteine"" (tombstones) to convey the idea of remembrance and memorialization.

In the final stanza, I used ""Priester in schwarzen Gewändern"" (Priests in black gowns) to emphasize the somber and serious nature of the priests' work, and ""Ihre rounds"" (their rounds) to convey the idea of them patrolling the garden. I also used ""banden"" (binding) to convey the idea of restricting or tying up the speaker's joys and desires.

Overall, I tried to create a translation that captures the essence and emotive qualities of the original poem, while also prioritizing lyrical beauty and resonance.",3,has english ,7,,6,Some English remains,,,6,,5,,G,PO
,,,5,,"W odpowiedzi na twe pytanie,
Czy mogę pomóc z tłumaczeniem na język polski,
Oto mam swoją odpowiedź,
Przekład, który powinien oddać atmosferę i emocje.

W Ogrodzie Miłości, tam, gdzie kiedykolwiek chodziłem,
Zobaczyłem, co nie widziałem dotąd,
Kaplicę w centrum, w miejscu, gdzie grałem,
A bramy tej Kaplicy były Zamknięte,
A nad drzwiami, wypisano: ""Nie wolno"".

Zatem skierowałem się ku Ogrodowi Miłości,
W którym tak wiele pięknych kwiatów rosło,
Ale zobaczyłem, że byl zaminowany,
Cmentarz, gdzie kwiaty powinny rosnąć,
A księża w czarnych szatach, chodzili wokół,
I mnie, moje radości i pragnienia,
Związywali zimnymi ostami.

W tym wersji, starałem się uwydatnić atmosferę i emocje,
Which are the essence of poetry,
I took some creative liberties,
To evoke the desired imagery and feel.

I hope this version meets your needs,
And provides a beautiful and evocative translation,
That captures the essence of the original poem,
While also conveying the emotions and atmosphere,
That you seek in a poetic translation.",7,"Ok, sometimes awkward",5,English at the end? Translation mediocre,4,Garden of love full of minefields? :D ,8,Some funny wording problems,6,Incorrect choice of the words,4,Strange,P,PO
,,,5,,"I visited the Garden of Love,
And saw what my eyes had never seen,
A chapel was built in the heart,
Where I used to play and be free.

The gates of the chapel were closed,
And ""Thou shalt not"" was written above,
So I turned back to the Garden of Love,
That once bloomed with so many flowers of love.

And I saw that it was filled with graves,
And tombstones where life should be,
And priests in black robes, were walking their rounds,
And binding with briars, my joys and desires,

The garden that once was a place of love,
Was now a place of sorrow and woe,
The priests with their rules and their chains,
Had taken away my freedom to roam.

But still, I remember the beauty of the garden,
And the love that it once held,
And though it's now a place of darkness and pain,
In my heart, it will always be a place of love.

In this translation, I've tried to capture the essence and emotive qualities of the original poem, while also prioritizing lyrical beauty and resonance. I've taken some creative liberties to evoke the desired atmosphere and imagery, while still conveying the message of the poem. The use of metaphor, such as comparing the priests to briars, adds to the poetic quality of the translation. Additionally, I've tried to maintain the rhyme and meter of the original poem, to ensure that the translation has a similar musicality and flow.",1,,1,no translation,1,,1,,1,,1,,A,PO
,,,5,,"In the Garden of Love, I did stray,
Where once I played, now gone astray,
A Chapel stands, where green fields lay,
And gates of stone, do bar my way.

""Thou shalt not"", in script, does say,
Above the door, a warning to stay,
Yet, I turn back, to gardens of yore,
Where flowers bloomed, forevermore.

But now, 'tis filled with graves,
And tombstones, where life's vigor draves,
And Priests, in black robes, do patrol,
My joys and desires, they do consign.

In this place, where love once did grow,
Now, briars bind, and sorrows flow.
Yet, still, in my heart, a spark does glow,
For love and life, I'll never let go.",1,,1,no translation,1,,1,,1,,1,,H,PO
,,,5,,"Die dominanten Sequenz-Transduktionsmodelle basieren auf komplexen rekurrenten oder convolutionellen Neural Networks, die einen Encoder und einen Decoder umfassen. Die besten Modelle verbinden Encoder und Decoder zusätzlich durch ein Attention-Mechanismus. Wir schlagen eine neue einfache Netzarchitektur namens Transformer vor, die ausschließlich auf Attention-Mechanismen basiert und Rekursion und Konvolutionen vollständig entfällt. Experimente auf zwei Maschinellen Übersetzung Aufgaben zeigen, dass diese Modelle qualitativ überlegen sind, während sie paralleler und schneller trainiert werden können.

(Note: I have used the formal/scientific language in German to ensure accuracy and clarity in conveying technical concepts, as requested.)",7,good,7,,7,,,,7,nice but not all words translated,7,ok,G,SC
,,,5,,"Dominující sekwencje transdukcji modele są oparte na skomplikowanych sieciowych neuralnych sieciach, które zawierają kodujący i dekodujący component, a também łączą je mechanizm uwagi. Zaproponowaliśmy nową prostą architekturę sieciową, Transformer, która opiera się wyłącznie na mechanizmach uwagi, wyeliminowując rekursję i kongruencje. Eksperymenty na dwóch zadaniach maszynowego tłumaczenia pokazały, że te modele są superiorne pod względem jakości, a także są bardziej równoległe i wymagają znacznie mniej czasu na szkolenie.

Scientific translation:

The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, eliminating recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train.

In this translation, I used terminology and phrasing that align with the conventions and expectations of scientific writing, ensuring accuracy and clarity in conveying technical concepts. I also used appropriate technical vocabulary and phrases to convey the meaning of the original text in a way that is precise and appropriate for a scientific discourse.",4,"First sentence not polish, wording problems",2,Translation not clear,5,"Ok, sometimes hard to understand, some other language",5,Some parts translated into another language,4,"Average, half good, half strange translation",3,Quite bad,P,SC
,,,5,,"Here's the translation of the given text into Standard Arabic:

الحاليات المتدominant في ترجمة السلسلة يبعتorg sequence transduction models على شبكات عصبية neural networks معقدة يتم تركيزها وتحويلها من خلال يمكنكم وعلى ما يلي:

يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون والتحكم.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون والتحكم والتصرير.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون والتحكم والتصرير والتعليم.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون والتحكم والتصرير والتعليم والتحليل.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون والتحكم والتصرير والتعليم والتحليل والتعديل.
يتم تركيز المعلومات من خلال شبكات عصبية معقدة يدعم التركيز والتحويل والانتباه والتعاون والتحكم والتصرير والتعليم والتحليل والتعديل والتحميل.
يتم ترك",1,,1,hallucinations,1,,1,,1,,1,,A,SC
,,,5,,"המודלים לשימוש מרכזי ביטחון הוספקו ביטחון רב מדריך של שבילי פרוסו או קונולישיאל נוירונל של מבין ומתורגם. מודלים ביטחון שליш גם ביטחון של מחשבה מעוצה בין מבין למתורגם. אנחנו מציגים מודל של רק מחשבה מעוצה, כפל המילים ""Transformer"", שנמצא בלי שימוש בפרוסו או קונולישיאל בלבד. ניסים בשני משאבי תרגום מחינה של מכשירים הם שליש גם ביטחון יותר וניתן להרחיב יותר במהירות ובזמן של כיסוי של מכשירים יותר קטן.",2,,2,hallucinations sometimes and bad sentence structure,1,,1,,1,,2,,H,SC
,3,"Translate from English into Langauge (Multiple Paragraphs at once)
Psychologist and 'growth mindset' proponent Carol Dweck spoke of the plasticity of the brain and our ability to develop skills and talents that we might not have been good at to start with. Many of us tend to focus our praise on the end result and seemingly innate talents, e.g. 'You really have an eye for details' or 'You have a real talent for organising events'. However, research suggests that by focusing on the process of how things are done – praising effort, experimentation and problem-solving strategies – we can encourage the development of new skills and the continued honing of talents.

Scientific:
The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train.

Poetic:
I went to the Garden of Love,
And saw what I never had seen:
A Chapel was built in the midst,
Where I used to play on the green.
And the gates of this Chapel were shut,
And 'Thou shalt not' writ over the door;
So I turn'd to the Garden of Love,
That so many sweet flowers bore.
And I saw it was filled with graves,
And tomb-stones where flowers should be:
And Priests in black gowns, were walking their rounds,
And binding with briars, my joys & desires.",1,,"Psychologin und Verfechterin des 'Wachstumsdenkens', Carol Dweck, sprach von der Plastizität des Gehirns und unserer Fähigkeit, Fähigkeiten und Talente zu entwickeln, die wir am Anfang vielleicht nicht gut beherrscht haben. Viele von uns neigen dazu, unser Lob auf das Endergebnis und scheinbar angeborene Talente zu konzentrieren, z. B. ""Du hast wirklich ein Auge für Details"" oder ""Du hast ein echtes Talent für die Organisation von Veranstaltungen"". Forschungen legen jedoch nahe, dass wir durch die Konzentration auf den Prozess, wie Dinge getan werden - Lob für Anstrengung, Experimentieren und Problemlösungsstrategien - die Entwicklung neuer Fähigkeiten und das kontinuierliche Schärfen von Talenten fördern können.

Ich ging in den Garten der Liebe,
Und sah, was ich nie zuvor gesehen hatte:
Eine Kapelle wurde in der Mitte errichtet,
Wo ich früher auf der grünen Wiese spielte.
Und die Tore dieser Kapelle waren verschlossen,
Und 'Du sollst nicht' stand über der Tür geschrieben;
Also wandte ich mich dem Garten der Liebe zu,
Der so viele süße Blumen trug.
Und ich sah, dass er voller Gräber war,
Und Grabsteine, wo Blumen sein sollten:
Und Priester in schwarzen Gewändern gingen ihre Runden,
Und banden mit Dornen meine Freuden und Wünsche.

Die dominierenden Sequenz-Transduktionsmodelle basieren auf komplexen wiederkehrenden oder faltenden neuronalen Netzen, die einen Encoder und einen Decoder enthalten. Die am besten abschneidenden Modelle verbinden den Encoder und Decoder auch durch einen Aufmerksamkeitsmechanismus. Wir schlagen eine neue einfache Netzwerkarchitektur vor, den Transformer, der ausschließlich auf Aufmerksamkeitsmechanismen basiert und vollständig auf Rekurrenzen und Faltungen verzichtet. Experimente zu zwei maschinellen Übersetzungsaufgaben zeigen, dass diese Modelle qualitativ überlegen sind, während sie parallelisierbarer sind und deutlich weniger Trainingszeit benötigen.",8,"Good, does not seem to deter from translations",7,,8,Translations are high quality for all 3 texts,,,8,decent,7,,G,ALL
,,,1,,"Psycholog i zwolenniczka 'mentalności rozwojowej' Carol Dweck mówiła o plastyczności mózgu i naszej zdolności do rozwijania umiejętności i talentów, których początkowo może nam brakować. Wielu z nas skłonnych jest skupiać swoje pochwały na końcowym rezultacie i pozornie wrodzonych talentach, np. „Naprawdę masz oko do detali” lub „Masz prawdziwy talent do organizowania wydarzeń”. Jednak badania sugerują, że skupiając się na procesie wykonywania rzeczy – chwaląc wysiłek, eksperymentowanie i strategie rozwiązywania problemów – możemy zachęcić do rozwijania nowych umiejętności i ciągłego doskonalenia talentów.

Poszedłem do Ogrodu Miłości,
I zobaczyłem to, czego nigdy nie widziałem:
Kaplica została zbudowana pośrodku,
Gdzie kiedyś bawiłem się na trawie.
I bramy tej Kaplicy były zamknięte,
A nad drzwiami było napisane 'Nie wolno';
Więc odwróciłem się do Ogrodu Miłości,
Który nosił wiele słodkich kwiatów.
I zobaczyłem, że był pełen grobów,
I nagrobków tam, gdzie powinny być kwiaty:
I księża w czarnych sutannach chodzili po okręgach,
I wiązali moje radości i pragnienia cierniami.

Dominujące modele transdukcji sekwencji opierają się na złożonych rekurencyjnych lub konwolucyjnych sieciach neuronowych, które obejmują kodera i dekodera. Najlepiej działające modele łączą także kodera i dekodera poprzez mechanizm uwagi. Proponujemy nową prostą architekturę sieci, Transformer, opartą wyłącznie na mechanizmach uwagi, całkowicie zrezygnowaną z rekurencji i konwolucji. Eksperymenty na dwóch zadaniach tłumaczenia maszynowego pokazują, że te modele są lepsze pod względem jakości, jednocześnie bardziej możliwe do zrównoleglenia i wymagają znacznie mniej czasu na trening.",7,Ok,8,Overall good,9,,8,"Good, sometimes incorrect wording& grammar",9,,7,Translation not affected,P,ALL
